/home/fonwin/f9utws/logs/20190826/omstws.log.TwsNew.g5.txt
Count=10000|Abandoned=0|Rejected=0|Sending=10000|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
3337|20190826031359.800519|20190826031359.800632|20190826031359.800712|113|80
3339|20190826031359.800536|20190826031359.800638|20190826031359.800716|102|78|17|6|4
3341|20190826031359.800542|20190826031359.800639|20190826031359.800717|97|78|6|1|1
3343|20190826031359.800546|20190826031359.800640|20190826031359.800719|94|79|4|1|2
3345|20190826031359.800550|20190826031359.800641|20190826031359.800722|91|81|4|1|3
3347|20190826031359.800554|20190826031359.800641|20190826031359.800723|87|82|4|0|1
3349|20190826031359.800557|20190826031359.800642|20190826031359.800725|85|83|3|1|2
3351|20190826031359.800561|20190826031359.800642|20190826031359.800729|81|87|4|0|4
3353|20190826031359.800565|20190826031359.800643|20190826031359.800746|78|103|4|1|17
3355|20190826031359.800572|20190826031359.800643|20190826031359.800748|71|105|7|0|2
3357|20190826031359.800576|20190826031359.800644|20190826031359.800750|68|106|4|1|2
3359|20190826031359.800582|20190826031359.800644|20190826031359.800752|62|108|6|0|2
3361|20190826031359.800586|20190826031359.800658|20190826031359.800753|72|95|4|14|1
3363|20190826031359.800589|20190826031359.800659|20190826031359.800755|70|96|3|1|2
3365|20190826031359.800593|20190826031359.800660|20190826031359.800757|67|97|4|1|2
3367|20190826031359.800597|20190826031359.800660|20190826031359.800759|63|99|4|0|2
3369|20190826031359.800602|20190826031359.800661|20190826031359.800760|59|99|5|1|1
3371|20190826031359.800606|20190826031359.800662|20190826031359.800762|56|100|4|1|2
3373|20190826031359.800619|20190826031359.800662|20190826031359.800763|43|101|13|0|1
3375|20190826031359.800622|20190826031359.800663|20190826031359.800765|41|102|3|1|2
3377|20190826031359.800630|20190826031359.800663|20190826031359.800766|33|103|8|0|1
3379|20190826031359.800638|20190826031359.800664|20190826031359.800768|26|104|8|1|2
3381|20190826031359.800641|20190826031359.800665|20190826031359.800769|24|104|3|1|1
3383|20190826031359.800645|20190826031359.800684|20190826031359.800771|39|87|4|19|2
3385|20190826031359.800649|20190826031359.800685|20190826031359.800772|36|87|4|1|1
3387|20190826031359.800653|20190826031359.800685|20190826031359.800778|32|93|4|0|6
3389|20190826031359.800660|20190826031359.800686|20190826031359.800781|26|95|7|1|3
3391|20190826031359.800664|20190826031359.800686|20190826031359.800783|22|97|4|0|2
3393|20190826031359.800667|20190826031359.800694|20190826031359.800785|27|91|3|8|2
3395|20190826031359.800680|20190826031359.800695|20190826031359.800786|15|91|13|1|1
3397|20190826031359.800687|20190826031359.800701|20190826031359.800788|14|87|7|6|2
3399|20190826031359.800691|20190826031359.800702|20190826031359.800790|11|88|4|1|2
3401|20190826031359.800697|20190826031359.800704|20190826031359.800792|7|88|6|2|2
3403|20190826031359.800703|20190826031359.800718|20190826031359.800793|15|75|6|14|1
3405|20190826031359.800711|20190826031359.800724|20190826031359.800795|13|71|8|6|2
3407|20190826031359.800715|20190826031359.800725|20190826031359.800797|10|72|4|1|2
3409|20190826031359.800721|20190826031359.800727|20190826031359.800798|6|71|6|2|1
3411|20190826031359.800728|20190826031359.800753|20190826031359.800810|25|57|7|26|12
3413|20190826031359.800733|20190826031359.800759|20190826031359.800812|26|53|5|6|2
3415|20190826031359.800750|20190826031359.800760|20190826031359.800814|10|54|17|1|2
3417|20190826031359.800756|20190826031359.800762|20190826031359.800816|6|54|6|2|2
3419|20190826031359.800762|20190826031359.800776|20190826031359.800831|14|55|6|14|15
3421|20190826031359.800768|20190826031359.800782|20190826031359.800833|14|51|6|6|2
3423|20190826031359.800772|20190826031359.800783|20190826031359.800835|11|52|4|1|2
3425|20190826031359.800779|20190826031359.800785|20190826031359.800837|6|52|7|2|2
3427|20190826031359.800785|20190826031359.800798|20190826031359.800838|13|40|6|13|1
3429|20190826031359.800790|20190826031359.800810|20190826031359.800840|20|30|5|12|2
3431|20190826031359.800794|20190826031359.800835|20190826031359.800842|41|7|4|25|2
3433|20190826031359.800815|20190826031359.800841|20190826031359.800845|26|4|21|6|3
3435|20190826031359.800818|20190826031359.800843|20190826031359.800846|25|3|3|2|1
3437|20190826031359.800830|20190826031359.800844|20190826031359.800848|14|4|12|1|2
3439|20190826031359.800837|20190826031359.800849|20190826031359.800856|12|7|7|5|8
3441|20190826031359.800843|20190826031359.800852|20190826031359.800858|9|6|6|3|2
3443|20190826031359.800847|20190826031359.800854|20190826031359.800871|7|17|4|2|13
3445|20190826031359.800853|20190826031359.800875|20190826031359.800895|22|20|6|21|24
3447|20190826031359.800872|20190826031359.800879|20190826031359.800898|7|19|19|4|3
3449|20190826031359.800878|20190826031359.800897|20190826031359.800901|19|4|6|18|3
3451|20190826031359.800881|20190826031359.800899|20190826031359.800903|18|4|3|2|2
3453|20190826031359.800893|20190826031359.800901|20190826031359.800905|8|4|12|2|2
3455|20190826031359.800900|20190826031359.800906|20190826031359.800914|6|8|7|5|9
3457|20190826031359.800904|20190826031359.800910|20190826031359.800916|6|6|4|4|2
3459|20190826031359.800910|20190826031359.800920|20190826031359.800937|10|17|6|10|21
3461|20190826031359.800915|20190826031359.800938|20190826031359.800948|23|10|5|18|11
3463|20190826031359.800918|20190826031359.800941|20190826031359.800955|23|14|3|3|7
3465|20190826031359.800936|20190826031359.800943|20190826031359.800958|7|15|18|2|3
3467|20190826031359.800941|20190826031359.800948|20190826031359.800960|7|12|5|5|2
3469|20190826031359.800946|20190826031359.800950|20190826031359.800967|4|17|5|2|7
3471|20190826031359.800952|20190826031359.800964|20190826031359.800970|12|6|6|14|3
3473|20190826031359.800956|20190826031359.800966|20190826031359.800972|10|6|4|2|2
3475|20190826031359.800960|20190826031359.800973|20190826031359.800982|13|9|4|7|10
3477|20190826031359.800965|20190826031359.800975|20190826031359.800984|10|9|5|2|2
3479|20190826031359.800970|20190826031359.800977|20190826031359.800986|7|9|5|2|2
3481|20190826031359.800976|20190826031359.800983|20190826031359.800989|7|6|6|6|3
3483|20190826031359.800980|20190826031359.800986|20190826031359.800991|6|5|4|3|2
3485|20190826031359.800985|20190826031359.800992|20190826031359.801000|7|8|5|6|9
3487|20190826031359.800989|20190826031359.800995|20190826031359.801003|6|8|4|3|3
3489|20190826031359.800995|20190826031359.801006|20190826031359.801014|11|8|6|11|11
3491|20190826031359.801000|20190826031359.801038|20190826031359.801047|38|9|5|32|33
3493|20190826031359.801003|20190826031359.801041|20190826031359.801049|38|8|3|3|2
3495|20190826031359.801010|20190826031359.801042|20190826031359.801051|32|9|7|1|2
3497|20190826031359.801013|20190826031359.801043|20190826031359.801053|30|10|3|1|2
3499|20190826031359.801022|20190826031359.801051|20190826031359.801055|29|4|9|8|2
3501|20190826031359.801041|20190826031359.801053|20190826031359.801057|12|4|19|2|2
3503|20190826031359.801051|20190826031359.801066|20190826031359.801074|15|8|10|13|17
3505|20190826031359.801057|20190826031359.801087|20190826031359.801096|30|9|6|21|22
3507|20190826031359.801070|20190826031359.801090|20190826031359.801098|20|8|13|3|2
3509|20190826031359.801080|20190826031359.801096|20190826031359.801101|16|5|10|6|3
3511|20190826031359.801090|20190826031359.801097|20190826031359.801103|7|6|10|1|2
3513|20190826031359.801098|20190826031359.801112|20190826031359.801121|14|9|8|15|18
3515|20190826031359.801107|20190826031359.801133|20190826031359.801142|26|9|9|21|21
3517|20190826031359.801128|20190826031359.801149|20190826031359.801158|21|9|21|16|16
3519|20190826031359.801144|20190826031359.801158|20190826031359.801165|14|7|16|9|7
3521|20190826031359.801155|20190826031359.801165|20190826031359.801174|10|9|11|7|9
3523|20190826031359.801161|20190826031359.801184|20190826031359.801193|23|9|6|19|19
3525|20190826031359.801176|20190826031359.801201|20190826031359.801210|25|9|15|17|17
3527|20190826031359.801188|20190826031359.801204|20190826031359.801212|16|8|12|3|2
3529|20190826031359.801197|20190826031359.801218|20190826031359.801226|21|8|9|14|14
3531|20190826031359.801210|20190826031359.801220|20190826031359.801228|10|8|13|2|2
3533|20190826031359.801219|20190826031359.801235|20190826031359.801244|16|9|9|15|16
3535|20190826031359.801231|20190826031359.801252|20190826031359.801260|21|8|12|17|16
3537|20190826031359.801245|20190826031359.801268|20190826031359.801276|23|8|14|16|16
3539|20190826031359.801256|20190826031359.801270|20190826031359.801278|14|8|11|2|2
3541|20190826031359.801263|20190826031359.801284|20190826031359.801292|21|8|7|14|14
3543|20190826031359.801277|20190826031359.801295|20190826031359.801303|18|8|14|11|11
3545|20190826031359.801284|20190826031359.801302|20190826031359.801305|18|3|7|7|2
3547|20190826031359.801293|20190826031359.801303|20190826031359.801308|10|5|9|1|3
3549|20190826031359.801303|20190826031359.801319|20190826031359.801327|16|8|10|16|19
3551|20190826031359.801314|20190826031359.801328|20190826031359.801337|14|9|11|9|10
3553|20190826031359.801325|20190826031359.801347|20190826031359.801355|22|8|11|19|18
3555|20190826031359.801332|20190826031359.801349|20190826031359.801358|17|9|7|2|3
3557|20190826031359.801343|20190826031359.801365|20190826031359.801373|22|8|11|16|15
3559|20190826031359.801356|20190826031359.801369|20190826031359.801375|13|6|13|4|2
3561|20190826031359.801363|20190826031359.801382|20190826031359.801391|19|9|7|13|16
3563|20190826031359.801374|20190826031359.801385|20190826031359.801393|11|8|11|3|2
3565|20190826031359.801382|20190826031359.801399|20190826031359.801407|17|8|8|14|14
3567|20190826031359.801394|20190826031359.801410|20190826031359.801418|16|8|12|11|11
3569|20190826031359.801406|20190826031359.801428|20190826031359.801436|22|8|12|18|18
3571|20190826031359.801413|20190826031359.801430|20190826031359.801439|17|9|7|2|3
3573|20190826031359.801422|20190826031359.801439|20190826031359.801447|17|8|9|9|8
3575|20190826031359.801430|20190826031359.801441|20190826031359.801450|11|9|8|2|3
3577|20190826031359.801436|20190826031359.801449|20190826031359.801456|13|7|6|8|6
3579|20190826031359.801444|20190826031359.801465|20190826031359.801473|21|8|8|16|17
3581|20190826031359.801452|20190826031359.801467|20190826031359.801476|15|9|8|2|3
3583|20190826031359.801458|20190826031359.801475|20190826031359.801478|17|3|6|8|2
3585|20190826031359.801468|20190826031359.801476|20190826031359.801480|8|4|10|1|2
3587|20190826031359.801476|20190826031359.801492|20190826031359.801501|16|9|8|16|21
3589|20190826031359.801484|20190826031359.801508|20190826031359.801517|24|9|8|16|16
3591|20190826031359.801496|20190826031359.801511|20190826031359.801519|15|8|12|3|2
3593|20190826031359.801504|20190826031359.801540|20190826031359.801549|36|9|8|29|30
3595|20190826031359.801517|20190826031359.801542|20190826031359.801551|25|9|13|2|2
3597|20190826031359.801540|20190826031359.801554|20190826031359.801563|14|9|23|12|12
3599|20190826031359.801552|20190826031359.801574|20190826031359.801582|22|8|12|20|19
3601|20190826031359.801566|20190826031359.801602|20190826031359.801610|36|8|14|28|28
3603|20190826031359.801577|20190826031359.801604|20190826031359.801623|27|19|11|2|13
3605|20190826031359.801599|20190826031359.801619|20190826031359.801625|20|6|22|15|2
3607|20190826031359.801611|20190826031359.801628|20190826031359.801636|17|8|12|9|11
3609|20190826031359.801617|20190826031359.801630|20190826031359.801638|13|8|6|2|2
3611|20190826031359.801628|20190826031359.801636|20190826031359.801640|8|4|11|6|2
3613|20190826031359.801635|20190826031359.801655|20190826031359.801663|20|8|7|19|23
3615|20190826031359.801646|20190826031359.801662|20190826031359.801667|16|5|11|7|4
3617|20190826031359.801653|20190826031359.801664|20190826031359.801669|11|5|7|2|2
3619|20190826031359.801664|20190826031359.801680|20190826031359.801688|16|8|11|16|19
3621|20190826031359.801674|20190826031359.801687|20190826031359.801695|13|8|10|7|7
3623|20190826031359.801686|20190826031359.801705|20190826031359.801714|19|9|12|18|19
3625|20190826031359.801697|20190826031359.801709|20190826031359.801716|12|7|11|4|2
3627|20190826031359.801703|20190826031359.801723|20190826031359.801731|20|8|6|14|15
3629|20190826031359.801715|20190826031359.801725|20190826031359.801734|10|9|12|2|3
3631|20190826031359.801723|20190826031359.801740|20190826031359.801749|17|9|8|15|15
3633|20190826031359.801735|20190826031359.801750|20190826031359.801758|15|8|12|10|9
3635|20190826031359.801746|20190826031359.801759|20190826031359.801767|13|8|11|9|9
3637|20190826031359.801753|20190826031359.801774|20190826031359.801782|21|8|7|15|15
3639|20190826031359.801763|20190826031359.801776|20190826031359.801785|13|9|10|2|3
3641|20190826031359.801768|20190826031359.801786|20190826031359.801795|18|9|5|10|10
3643|20190826031359.801777|20190826031359.801795|20190826031359.801801|18|6|9|9|6
3645|20190826031359.801785|20190826031359.801797|20190826031359.801804|12|7|8|2|3
3647|20190826031359.801796|20190826031359.801813|20190826031359.801821|17|8|11|16|17
3649|20190826031359.801805|20190826031359.801840|20190826031359.801854|35|14|9|27|33
3651|20190826031359.801816|20190826031359.801842|20190826031359.801856|26|14|11|2|2
3653|20190826031359.801841|20190826031359.801855|20190826031359.801859|14|4|25|13|3
3655|20190826031359.801852|20190826031359.801871|20190826031359.801879|19|8|11|16|20
3657|20190826031359.801859|20190826031359.801873|20190826031359.801882|14|9|7|2|3
3659|20190826031359.801868|20190826031359.801886|20190826031359.801904|18|18|9|13|22
3661|20190826031359.801882|20190826031359.801903|20190826031359.801908|21|5|14|17|4
3663|20190826031359.801905|20190826031359.801923|20190826031359.801931|18|8|23|20|23
3665|20190826031359.801919|20190826031359.801940|20190826031359.801949|21|9|14|17|18
3667|20190826031359.801933|20190826031359.801953|20190826031359.801962|20|9|14|13|13
3669|20190826031359.801943|20190826031359.801960|20190826031359.801964|17|4|10|7|2
3671|20190826031359.801953|20190826031359.801973|20190826031359.801981|20|8|10|13|17
3673|20190826031359.801963|20190826031359.801975|20190826031359.801984|12|9|10|2|3
3675|20190826031359.801972|20190826031359.801990|20190826031359.801999|18|9|9|15|15
3677|20190826031359.801986|20190826031359.802008|20190826031359.802016|22|8|14|18|17
3679|20190826031359.801999|20190826031359.802026|20190826031359.802035|27|9|13|18|19
3681|20190826031359.802011|20190826031359.802029|20190826031359.802037|18|8|12|3|2
3683|20190826031359.802020|20190826031359.802040|20190826031359.802048|20|8|9|11|11
3685|20190826031359.802029|20190826031359.802042|20190826031359.802051|13|9|9|2|3
3687|20190826031359.802036|20190826031359.802050|20190826031359.802057|14|7|7|8|6
3689|20190826031359.802043|20190826031359.802066|20190826031359.802074|23|8|7|16|17
3691|20190826031359.802052|20190826031359.802068|20190826031359.802076|16|8|9|2|2
3693|20190826031359.802062|20190826031359.802081|20190826031359.802089|19|8|10|13|13
3695|20190826031359.802074|20190826031359.802092|20190826031359.802100|18|8|12|11|11
3697|20190826031359.802081|20190826031359.802094|20190826031359.802102|13|8|7|2|2
3699|20190826031359.802092|20190826031359.802101|20190826031359.802105|9|4|11|7|3
3701|20190826031359.802099|20190826031359.802114|20190826031359.802123|15|9|7|13|18
3703|20190826031359.802114|20190826031359.802131|20190826031359.802140|17|9|15|17|17
3705|20190826031359.802126|20190826031359.802138|20190826031359.802142|12|4|12|7|2
3707|20190826031359.802136|20190826031359.802149|20190826031359.802157|13|8|10|11|15
3709|20190826031359.802141|20190826031359.802158|20190826031359.802166|17|8|5|9|9
3711|20190826031359.802151|20190826031359.802160|20190826031359.802168|9|8|10|2|2
3713|20190826031359.802159|20190826031359.802176|20190826031359.802184|17|8|8|16|16
3715|20190826031359.802168|20190826031359.802185|20190826031359.802193|17|8|9|9|9
3717|20190826031359.802179|20190826031359.802187|20190826031359.802198|8|11|11|2|5
3719|20190826031359.802186|20190826031359.802202|20190826031359.802210|16|8|7|15|12
3721|20190826031359.802197|20190826031359.802212|20190826031359.802220|15|8|11|10|10
3723|20190826031359.802211|20190826031359.802219|20190826031359.802223|8|4|14|7|3
