/home/fonwin/f9utws/logs/20190826/omstws.log.TwsNew.x3.txt
Count=100|Abandoned=0|Rejected=0|Sending=100|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
333370|20190826033200.910701|20190826033200.910810|20190826033200.910926|109|116
333372|20190826033200.910722|20190826033200.910832|20190826033200.910930|110|98|21|22|4
333374|20190826033200.910727|20190826033200.910833|20190826033200.910932|106|99|5|1|2
333376|20190826033200.910751|20190826033200.910834|20190826033200.910935|83|101|24|1|3
333378|20190826033200.910755|20190826033200.910835|20190826033200.910938|80|103|4|1|3
333380|20190826033200.910759|20190826033200.910836|20190826033200.910953|77|117|4|1|15
333382|20190826033200.910763|20190826033200.910837|20190826033200.910955|74|118|4|1|2
333384|20190826033200.910767|20190826033200.910837|20190826033200.910960|70|123|4|0|5
333386|20190826033200.910771|20190826033200.910838|20190826033200.910963|67|125|4|1|3
333388|20190826033200.910779|20190826033200.910839|20190826033200.910974|60|135|8|1|11
333390|20190826033200.910785|20190826033200.910854|20190826033200.910976|69|122|6|15|2
333392|20190826033200.910789|20190826033200.910856|20190826033200.910978|67|122|4|2|2
333394|20190826033200.910793|20190826033200.910856|20190826033200.910980|63|124|4|0|2
333396|20190826033200.910798|20190826033200.910857|20190826033200.910981|59|124|5|1|1
333398|20190826033200.910803|20190826033200.910858|20190826033200.910983|55|125|5|1|2
333400|20190826033200.910807|20190826033200.910858|20190826033200.910985|51|127|4|0|2
333402|20190826033200.910812|20190826033200.910859|20190826033200.910987|47|128|5|1|2
333404|20190826033200.910815|20190826033200.910860|20190826033200.910989|45|129|3|1|2
333406|20190826033200.910831|20190826033200.910861|20190826033200.910992|30|131|16|1|3
333408|20190826033200.910835|20190826033200.910861|20190826033200.910994|26|133|4|0|2
333410|20190826033200.910838|20190826033200.910862|20190826033200.910996|24|134|3|1|2
333412|20190826033200.910842|20190826033200.910873|20190826033200.910998|31|125|4|11|2
333414|20190826033200.910846|20190826033200.910874|20190826033200.910999|28|125|4|1|1
333416|20190826033200.910850|20190826033200.910875|20190826033200.911001|25|126|4|1|2
333418|20190826033200.910857|20190826033200.910876|20190826033200.911003|19|127|7|1|2
333420|20190826033200.910861|20190826033200.910877|20190826033200.911006|16|129|4|1|3
333422|20190826033200.910865|20190826033200.910898|20190826033200.911009|33|111|4|21|3
333424|20190826033200.910868|20190826033200.910899|20190826033200.911011|31|112|3|1|2
333426|20190826033200.910877|20190826033200.910900|20190826033200.911013|23|113|9|1|2
333428|20190826033200.910891|20190826033200.910910|20190826033200.911016|19|106|14|10|3
333430|20190826033200.910895|20190826033200.910921|20190826033200.911018|26|97|4|11|2
333432|20190826033200.910917|20190826033200.910924|20190826033200.911020|7|96|22|3|2
333434|20190826033200.910923|20190826033200.910935|20190826033200.911022|12|87|6|11|2
333436|20190826033200.910928|20190826033200.910955|20190826033200.911024|27|69|5|20|2
333438|20190826033200.910932|20190826033200.910956|20190826033200.911026|24|70|4|1|2
333440|20190826033200.910938|20190826033200.910973|20190826033200.911028|35|55|6|17|2
333442|20190826033200.910942|20190826033200.910974|20190826033200.911036|32|62|4|1|8
333444|20190826033200.910956|20190826033200.910982|20190826033200.911038|26|56|14|8|2
333446|20190826033200.910960|20190826033200.910983|20190826033200.911040|23|57|4|1|2
333448|20190826033200.910979|20190826033200.910985|20190826033200.911041|6|56|19|2|1
333450|20190826033200.910985|20190826033200.910999|20190826033200.911043|14|44|6|14|2
333452|20190826033200.910991|20190826033200.911004|20190826033200.911045|13|41|6|5|2
333454|20190826033200.910995|20190826033200.911005|20190826033200.911047|10|42|4|1|2
333456|20190826033200.911001|20190826033200.911007|20190826033200.911050|6|43|6|2|3
333458|20190826033200.911007|20190826033200.911018|20190826033200.911053|11|35|6|11|3
